feature,user,like
1,1,0
1,2,1
1,3,0
1,4,1
1,5,0
1,6,0
1,7,1
1,8,0
1,9,1
1,10,1
1,11,0
1,12,0
1,13,0
1,14,1
1,15,0
1,16,0
1,17,0
1,18,0
1,19,1
1,20,0
1,21,1
1,22,0
1,23,1
1,24,1
1,25,0
1,26,0
1,27,0
1,28,0
1,29,1
1,30,1
2,1,0
2,2,1
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,1
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,1
2,27,1
2,28,0
2,29,0
2,30,0
3,1,1
3,2,1
3,3,0
3,4,1
3,5,1
3,6,0
3,7,0
3,8,1
3,9,0
3,10,1
3,11,0
3,12,1
3,13,0
3,14,1
3,15,0
3,16,1
3,17,0
3,18,1
3,19,1
3,20,1
3,21,1
3,22,1
3,23,1
3,24,1
3,25,0
3,26,1
3,27,1
3,28,0
3,29,1
3,30,1
