"Satisfaction","PerceivedWorkload","TeachingStyle"
"Neutral","High","Project-Based"
"Satisfied","High","Interactive"
"Dissatisfied","High","Project-Based"
"Satisfied","Moderate","Interactive"
"Satisfied","High","Project-Based"
"Neutral","Moderate","Lecture-Based"
"Very Dissatisfied","Moderate","Lecture-Based"
"Dissatisfied","Moderate","Lecture-Based"
"Very Satisfied","High","Lecture-Based"
"Very Dissatisfied","Low","Project-Based"
"Satisfied","Moderate","Interactive"
"Very Dissatisfied","Moderate","Lecture-Based"
"Neutral","Low","Interactive"
"Very Dissatisfied","Moderate","Lecture-Based"
"Very Dissatisfied","High","Project-Based"
"Satisfied","Low","Project-Based"
"Satisfied","High","Lecture-Based"
"Very Satisfied","High","Interactive"
"Very Dissatisfied","Low","Project-Based"
"Very Satisfied","Low","Lecture-Based"
"Neutral","Low","Project-Based"
"Very Satisfied","Low","Interactive"
"Satisfied","High","Lecture-Based"
"Dissatisfied","Moderate","Lecture-Based"
"Very Satisfied","High","Lecture-Based"
"Very Dissatisfied","Moderate","Lecture-Based"
"Very Satisfied","Low","Lecture-Based"
"Dissatisfied","Moderate","Project-Based"
"Very Satisfied","High","Interactive"
"Neutral","Moderate","Interactive"
"Neutral","Low","Interactive"
"Very Satisfied","High","Project-Based"
"Very Dissatisfied","High","Lecture-Based"
"Very Satisfied","Low","Interactive"
"Neutral","High","Interactive"
"Neutral","Moderate","Lecture-Based"
"Very Satisfied","Low","Interactive"
"Very Dissatisfied","High","Lecture-Based"
"Very Satisfied","Low","Lecture-Based"
"Very Satisfied","Low","Interactive"
"Dissatisfied","Moderate","Project-Based"
"Neutral","High","Lecture-Based"
"Neutral","High","Project-Based"
"Satisfied","Low","Lecture-Based"
"Very Satisfied","High","Interactive"
"Neutral","Low","Lecture-Based"
"Satisfied","High","Interactive"
"Neutral","Moderate","Interactive"
"Satisfied","Low","Interactive"
"Neutral","Moderate","Project-Based"
"Very Dissatisfied","Low","Lecture-Based"
"Very Dissatisfied","Low","Lecture-Based"
"Very Satisfied","High","Lecture-Based"
"Very Satisfied","Low","Lecture-Based"
"Very Dissatisfied","Moderate","Project-Based"
"Satisfied","Low","Lecture-Based"
"Very Satisfied","Low","Interactive"
"Neutral","High","Lecture-Based"
"Very Satisfied","Low","Interactive"
"Neutral","Moderate","Interactive"
"Very Satisfied","Low","Lecture-Based"
"Satisfied","High","Lecture-Based"
"Very Satisfied","Low","Lecture-Based"
"Satisfied","High","Lecture-Based"
"Dissatisfied","Moderate","Project-Based"
"Very Satisfied","High","Lecture-Based"
"Neutral","Moderate","Lecture-Based"
"Dissatisfied","Moderate","Lecture-Based"
"Very Dissatisfied","High","Interactive"
"Neutral","Moderate","Interactive"
"Neutral","Moderate","Project-Based"
"Very Satisfied","High","Interactive"
"Very Satisfied","High","Project-Based"
"Very Satisfied","Low","Lecture-Based"
"Very Dissatisfied","Moderate","Lecture-Based"
"Satisfied","Moderate","Lecture-Based"
"Dissatisfied","Low","Lecture-Based"
"Very Dissatisfied","Moderate","Lecture-Based"
"Very Satisfied","Low","Project-Based"
"Very Satisfied","Low","Lecture-Based"
"Dissatisfied","Moderate","Lecture-Based"
"Satisfied","High","Project-Based"
"Very Dissatisfied","High","Project-Based"
"Very Satisfied","Low","Interactive"
"Very Dissatisfied","Moderate","Lecture-Based"
"Very Dissatisfied","Low","Lecture-Based"
"Satisfied","Moderate","Lecture-Based"
"Satisfied","Low","Interactive"
"Neutral","High","Lecture-Based"
"Very Satisfied","High","Interactive"
"Very Dissatisfied","Moderate","Lecture-Based"
"Dissatisfied","High","Lecture-Based"
"Very Satisfied","Low","Project-Based"
"Dissatisfied","Moderate","Project-Based"
"Dissatisfied","Moderate","Interactive"
"Dissatisfied","High","Interactive"
"Neutral","Moderate","Lecture-Based"
"Dissatisfied","Low","Project-Based"
"Very Satisfied","High","Lecture-Based"
"Neutral","High","Lecture-Based"
"Neutral","High","Interactive"
